"index","max_s","fold"
22,40,1
23,40,1
24,40,1
28,40,1
32,40,1
42,40,1
52,40,1
54,40,1
57,40,1
59,40,1
63,40,1
65,40,1
66,40,1
67,40,1
71,40,1
77,40,1
78,40,1
85,40,1
87,40,1
90,40,1
92,40,1
94,40,1
98,40,1
101,40,1
102,40,1
108,40,1
109,40,1
110,40,1
112,40,1
113,40,1
1,40,2
2,40,2
3,40,2
6,40,2
7,40,2
8,40,2
15,40,2
16,40,2
18,40,2
20,40,2
22,40,2
23,40,2
27,40,2
28,40,2
37,40,2
40,40,2
42,40,2
43,40,2
46,40,2
52,40,2
53,40,2
54,40,2
55,40,2
57,40,2
59,40,2
62,40,2
65,40,2
66,40,2
67,40,2
71,40,2
77,40,2
86,40,2
92,40,2
93,40,2
94,40,2
98,40,2
101,40,2
102,40,2
108,40,2
113,40,2
2,40,3
3,40,3
4,40,3
7,40,3
11,40,3
12,40,3
14,40,3
15,40,3
16,40,3
18,40,3
20,40,3
22,40,3
23,40,3
24,40,3
27,40,3
28,40,3
29,40,3
37,40,3
40,40,3
43,40,3
53,40,3
54,40,3
55,40,3
57,40,3
58,40,3
59,40,3
61,40,3
65,40,3
66,40,3
67,40,3
71,40,3
85,40,3
90,40,3
93,40,3
94,40,3
98,40,3
101,40,3
104,40,3
108,40,3
109,40,3
1,40,4
2,40,4
3,40,4
4,40,4
7,40,4
8,40,4
15,40,4
16,40,4
18,40,4
20,40,4
22,40,4
23,40,4
24,40,4
28,40,4
32,40,4
40,40,4
53,40,4
54,40,4
55,40,4
57,40,4
58,40,4
59,40,4
60,40,4
66,40,4
67,40,4
71,40,4
77,40,4
82,40,4
85,40,4
87,40,4
90,40,4
94,40,4
98,40,4
101,40,4
102,40,4
104,40,4
108,40,4
109,40,4
112,40,4
113,40,4
2,40,5
3,40,5
4,40,5
6,40,5
7,40,5
8,40,5
15,40,5
16,40,5
18,40,5
20,40,5
22,40,5
23,40,5
24,40,5
28,40,5
32,40,5
34,40,5
37,40,5
40,40,5
46,40,5
52,40,5
57,40,5
58,40,5
66,40,5
67,40,5
68,40,5
71,40,5
77,40,5
78,40,5
85,40,5
90,40,5
93,40,5
94,40,5
98,40,5
101,40,5
102,40,5
104,40,5
108,40,5
109,40,5
112,40,5
113,40,5
1,113,1
2,113,1
3,113,1
4,113,1
5,113,1
6,113,1
7,113,1
8,113,1
9,113,1
10,113,1
11,113,1
12,113,1
13,113,1
14,113,1
15,113,1
16,113,1
17,113,1
18,113,1
19,113,1
20,113,1
21,113,1
22,113,1
23,113,1
24,113,1
25,113,1
26,113,1
27,113,1
28,113,1
29,113,1
30,113,1
31,113,1
32,113,1
33,113,1
34,113,1
35,113,1
36,113,1
37,113,1
38,113,1
39,113,1
40,113,1
41,113,1
42,113,1
43,113,1
44,113,1
45,113,1
46,113,1
47,113,1
48,113,1
49,113,1
50,113,1
51,113,1
52,113,1
53,113,1
54,113,1
55,113,1
56,113,1
57,113,1
58,113,1
59,113,1
60,113,1
61,113,1
62,113,1
63,113,1
64,113,1
65,113,1
66,113,1
67,113,1
68,113,1
69,113,1
70,113,1
71,113,1
72,113,1
73,113,1
74,113,1
75,113,1
76,113,1
77,113,1
78,113,1
79,113,1
80,113,1
81,113,1
82,113,1
83,113,1
84,113,1
85,113,1
86,113,1
87,113,1
88,113,1
89,113,1
90,113,1
91,113,1
92,113,1
93,113,1
94,113,1
95,113,1
96,113,1
97,113,1
98,113,1
99,113,1
100,113,1
101,113,1
102,113,1
103,113,1
104,113,1
105,113,1
106,113,1
107,113,1
108,113,1
109,113,1
110,113,1
111,113,1
112,113,1
113,113,1
1,113,2
2,113,2
3,113,2
4,113,2
5,113,2
6,113,2
7,113,2
8,113,2
9,113,2
10,113,2
11,113,2
12,113,2
13,113,2
14,113,2
15,113,2
16,113,2
17,113,2
18,113,2
19,113,2
20,113,2
21,113,2
22,113,2
23,113,2
24,113,2
25,113,2
26,113,2
27,113,2
28,113,2
29,113,2
30,113,2
31,113,2
32,113,2
33,113,2
34,113,2
35,113,2
36,113,2
37,113,2
38,113,2
39,113,2
40,113,2
41,113,2
42,113,2
43,113,2
44,113,2
45,113,2
46,113,2
47,113,2
48,113,2
49,113,2
50,113,2
51,113,2
52,113,2
53,113,2
54,113,2
55,113,2
56,113,2
57,113,2
58,113,2
59,113,2
60,113,2
61,113,2
62,113,2
63,113,2
64,113,2
65,113,2
66,113,2
67,113,2
68,113,2
69,113,2
70,113,2
71,113,2
72,113,2
73,113,2
74,113,2
75,113,2
76,113,2
77,113,2
78,113,2
79,113,2
80,113,2
81,113,2
82,113,2
83,113,2
84,113,2
85,113,2
86,113,2
87,113,2
88,113,2
89,113,2
90,113,2
91,113,2
92,113,2
93,113,2
94,113,2
95,113,2
96,113,2
97,113,2
98,113,2
99,113,2
100,113,2
101,113,2
102,113,2
103,113,2
104,113,2
105,113,2
106,113,2
107,113,2
108,113,2
109,113,2
110,113,2
111,113,2
112,113,2
113,113,2
1,113,3
2,113,3
3,113,3
4,113,3
5,113,3
6,113,3
7,113,3
8,113,3
9,113,3
10,113,3
11,113,3
12,113,3
13,113,3
14,113,3
15,113,3
16,113,3
17,113,3
18,113,3
19,113,3
20,113,3
21,113,3
22,113,3
23,113,3
24,113,3
25,113,3
26,113,3
27,113,3
28,113,3
29,113,3
30,113,3
31,113,3
32,113,3
33,113,3
34,113,3
35,113,3
36,113,3
37,113,3
38,113,3
39,113,3
40,113,3
41,113,3
42,113,3
43,113,3
44,113,3
45,113,3
46,113,3
47,113,3
48,113,3
49,113,3
50,113,3
51,113,3
52,113,3
53,113,3
54,113,3
55,113,3
56,113,3
57,113,3
58,113,3
59,113,3
60,113,3
61,113,3
62,113,3
63,113,3
64,113,3
65,113,3
66,113,3
67,113,3
68,113,3
69,113,3
70,113,3
71,113,3
72,113,3
73,113,3
74,113,3
75,113,3
76,113,3
77,113,3
78,113,3
79,113,3
80,113,3
81,113,3
82,113,3
83,113,3
84,113,3
85,113,3
86,113,3
87,113,3
88,113,3
89,113,3
90,113,3
91,113,3
92,113,3
93,113,3
94,113,3
95,113,3
96,113,3
97,113,3
98,113,3
99,113,3
100,113,3
101,113,3
102,113,3
103,113,3
104,113,3
105,113,3
106,113,3
107,113,3
108,113,3
109,113,3
110,113,3
111,113,3
112,113,3
113,113,3
1,113,4
2,113,4
3,113,4
4,113,4
5,113,4
6,113,4
7,113,4
8,113,4
9,113,4
10,113,4
11,113,4
12,113,4
13,113,4
14,113,4
15,113,4
16,113,4
17,113,4
18,113,4
19,113,4
20,113,4
21,113,4
22,113,4
23,113,4
24,113,4
25,113,4
26,113,4
27,113,4
28,113,4
29,113,4
30,113,4
31,113,4
32,113,4
33,113,4
34,113,4
35,113,4
36,113,4
37,113,4
38,113,4
39,113,4
40,113,4
41,113,4
42,113,4
43,113,4
44,113,4
45,113,4
46,113,4
47,113,4
48,113,4
49,113,4
50,113,4
51,113,4
52,113,4
53,113,4
54,113,4
55,113,4
56,113,4
57,113,4
58,113,4
59,113,4
60,113,4
61,113,4
62,113,4
63,113,4
64,113,4
65,113,4
66,113,4
67,113,4
68,113,4
69,113,4
70,113,4
71,113,4
72,113,4
73,113,4
74,113,4
75,113,4
76,113,4
77,113,4
78,113,4
79,113,4
80,113,4
81,113,4
82,113,4
83,113,4
84,113,4
85,113,4
86,113,4
87,113,4
88,113,4
89,113,4
90,113,4
91,113,4
92,113,4
93,113,4
94,113,4
95,113,4
96,113,4
97,113,4
98,113,4
99,113,4
100,113,4
101,113,4
102,113,4
103,113,4
104,113,4
105,113,4
106,113,4
107,113,4
108,113,4
109,113,4
110,113,4
111,113,4
112,113,4
113,113,4
1,113,5
2,113,5
3,113,5
4,113,5
5,113,5
6,113,5
7,113,5
8,113,5
9,113,5
10,113,5
11,113,5
12,113,5
13,113,5
14,113,5
15,113,5
16,113,5
17,113,5
18,113,5
19,113,5
20,113,5
21,113,5
22,113,5
23,113,5
24,113,5
25,113,5
26,113,5
27,113,5
28,113,5
29,113,5
30,113,5
31,113,5
32,113,5
33,113,5
34,113,5
35,113,5
36,113,5
37,113,5
38,113,5
39,113,5
40,113,5
41,113,5
42,113,5
43,113,5
44,113,5
45,113,5
46,113,5
47,113,5
48,113,5
49,113,5
50,113,5
51,113,5
52,113,5
53,113,5
54,113,5
55,113,5
56,113,5
57,113,5
58,113,5
59,113,5
60,113,5
61,113,5
62,113,5
63,113,5
64,113,5
65,113,5
66,113,5
67,113,5
68,113,5
69,113,5
70,113,5
71,113,5
72,113,5
73,113,5
74,113,5
75,113,5
76,113,5
77,113,5
78,113,5
79,113,5
80,113,5
81,113,5
82,113,5
83,113,5
84,113,5
85,113,5
86,113,5
87,113,5
88,113,5
89,113,5
90,113,5
91,113,5
92,113,5
93,113,5
94,113,5
95,113,5
96,113,5
97,113,5
98,113,5
99,113,5
100,113,5
101,113,5
102,113,5
103,113,5
104,113,5
105,113,5
106,113,5
107,113,5
108,113,5
109,113,5
110,113,5
111,113,5
112,113,5
113,113,5
